 SEC PL Code , B310E , B313E , B350E , J106H , J200H , J210F , G532G , J210FZ , J500H , G600F , J700H , J710F , G610F , A510F , A710F , A720F , C900F , G935F , G950F , G955F , T116N , T285Y , T561N 
PL994,30,8,13,3,70,4,60,39,2,11,40,10,8,2,2,2,1,0,0,0,1,1,0
PL1269,31,4,2,4,28,2,28,12,2,7,26,13,14,2,1,4,1,0,1,1,1,0,1
PL1181,86,16,17,8,51,2,34,20,1,12,15,7,15,1,1,3,1,0,0,2,1,0,1
PL1077,76,14,15,9,135,12,80,90,4,12,66,18,32,4,3,0,1,0,1,1,1,1,1
PL1278,30,8,4,9,62,2,21,14,2,5,22,5,8,2,1,0,0,0,0,0,1,1,0
PL1169,30,10,9,6,88,4,50,34,2,8,41,14,19,2,2,0,0,0,0,0,1,1,0
PL1218,18,7,8,7,42,2,18,19,1,4,10,6,1,2,0,0,0,0,0,0,1,1,0
PL1203,24,5,5,3,38,2,29,17,1,7,21,8,18,2,1,0,0,0,0,1,1,0,0
PL1152,46,13,13,14,77,2,21,18,2,6,30,13,19,0,3,0,0,0,0,0,1,1,0
PL051,121,29,11,17,140,10,70,45,5,40,70,25,31,3,3,1,1,0,1,2,3,2,2
PL1187,25,8,5,3,46,1,19,23,3,3,20,4,6,2,2,0,0,0,0,0,0,0,0
PL915,109,28,29,8,82,4,41,36,3,7,50,15,28,3,7,2,2,1,0,1,2,1,2
PL660,27,8,10,6,24,1,12,7,1,3,19,7,7,4,2,0,0,0,2,3,1,0,1
PL1288,24,3,6,2,22,1,12,7,1,4,15,16,2,1,1,0,0,0,0,1,0,0,0
PL1186,46,10,10,7,32,2,19,11,0,11,18,5,14,2,2,0,5,1,1,5,1,1,0
PL1195,40,3,8,5,25,3,20,25,1,10,10,10,6,3,2,4,2,0,1,2,1,0,1
PL651,46,9,5,4,47,2,31,30,1,9,21,7,6,0,1,0,0,0,1,3,1,0,1
PL682,65,9,11,8,56,5,42,22,2,19,46,32,51,2,2,3,3,0,1,15,0,0,1
PL1197,26,4,6,3,34,2,20,17,1,17,24,9,16,2,1,0,0,0,0,1,1,0,1
